"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"Banana";1;"LOGO";;;
2;"C4";"TantalC_SizeA_EIA-3216_HandSoldering";1;"CP";;;
3;"SMA_E1";"SMA_EDGE";1;"SMA_EDGE";;;
4;"U2";"RFM95_SMD_Handsoldering";1;"RFM95HW";;;
5;"C1";"C_0805";1;"470n";;;
6;"C2,C6";"C_0603";2;"100n";;;
7;"C3";"C_0805";1;"100n";;;
8;"C5";"C_0805";1;"1u";;;
9;"D1,D2,D3";"R_0805_HandSoldering";3;"D";;;
10;"P6";"RPI-ZERO-Hat";1;"RPI-GPIO";;;
11;"Q1";"SOT-23";1;"2N7002";;;
12;"R1";"R_0603_HandSoldering";1;"4K7R";;;
13;"R2";"R_0603_HandSoldering";1;"100R";;;
14;"R3,R5,R6,R7,R8,R10";"R_0603_HandSoldering";6;"10K";;;
15;"R4";"R_0603_HandSoldering";1;"22K";;;
16;"U1";"SOT-223";1;"LM2940";;;
17;"U3";"SOIC-8-N";1;"MCP3002";;;
18;"U4";"TO-92_Inline_Wide";1;"ds18b20";;;
19;"U5";"MS5607";1;"MS5607";;;
20;"";"Symbol_OSHW-Logo_SilkScreen";1;"Symbol_OSHW-Logo_SilkScreen";;;
21;"P1";"Hirose_DF13-04P-1.25DSA_04x1.25mm_Straight";1;"GPS";;;
22;"P2";"Hirose_DF13-04P-1.25DSA_04x1.25mm_Straight";1;"I2C";;;
23;"P3";"Hirose_DF13-02P-1.25DSA_02x1.25mm_Straight";1;"BATT";;;
24;"P4";"Hirose_DF13-03P-1.25DSA_03x1.25mm_Straight";1;"AN1";;;
25;"P5";"Hirose_DF13-03P-1.25DSA_03x1.25mm_Straight";1;"1WIRE";;;
26;"G***,G***";"ASHAB-LOGO-FSILK";2;"LOGO";;;
27;"D4";"LED_0603";1;"LED";;;
28;"R9";"R_0603_HandSoldering";1;"390";;;
29;"JP1";"Pin_Header_Straight_1x03";1;"RF_PWR";;;
30;"P7";"Hirose_DF13-03P-1.25DSA_03x1.25mm_Straight";1;"GP1";;;
31;"U6";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"DS3231M";;;
32;"C7";"C_0603_1608Metric";1;"100n";;;
33;"BT1";"RTC-Batt";1;"Battery_Cell";;;
